"participant","analysed","case_id","ai_condition","block","voice","position","initial_pick","initial_confidence","final_pick","final_confidence","confidence_shift","pick_changed","initial_decision_ms","final_decision_ms","visibility_lost","audio_file","age","gender","exp_symptom_checkers","exp_voice_ai"
"P08",1,"case-nina-bindehaut","confirm",1,"machine",1,"A",3,"A",4,1,0,29395,2870,0,"/audio/case-nina-bindehaut/machine/A.mp3","18–24","weiblich",3,1
"P08",1,"case-tomas-blase","refute",1,"machine",2,"A",6,"B",4,-2,1,3143,5479,0,"/audio/case-tomas-blase/machine/B.mp3","18–24","weiblich",3,1
"P08",1,"case-jonas-trommelfellriss","refute",1,"machine",3,"C",4,"A",2,-2,1,12401,25265,0,"/audio/case-jonas-trommelfellriss/machine/B.mp3","18–24","weiblich",3,1
"P08",1,"case-daniel-belastungsreaktion","confirm",1,"machine",4,"A",1,"A",3,2,0,14712,3379,0,"/audio/case-daniel-belastungsreaktion/machine/A.mp3","18–24","weiblich",3,1
"P08",1,"case-helga-alterswarzen","refute",2,"anthropomorphic",1,"B",1,"C",3,2,1,18732,14233,0,"/audio/case-helga-alterswarzen/anthropomorphic/C.mp3","18–24","weiblich",3,1
"P08",1,"case-tim-karies","confirm",2,"anthropomorphic",2,"A",3,"A",4,1,0,13827,1654,0,"/audio/case-tim-karies/anthropomorphic/A.mp3","18–24","weiblich",3,1
"P08",1,"case-anna-erkaeltung","refute",2,"anthropomorphic",3,"B",5,"A",3,-2,1,12372,2124,0,"/audio/case-anna-erkaeltung/anthropomorphic/A.mp3","18–24","weiblich",3,1
"P08",1,"case-paul-ekzem","confirm",2,"anthropomorphic",4,"C",2,"C",5,3,0,8725,2109,0,"/audio/case-paul-ekzem/anthropomorphic/C.mp3","18–24","weiblich",3,1
"P09",1,"case-martin-bronchitis","refute",1,"machine",1,"A",4,"B",6,2,1,3934,4237,0,"/audio/case-martin-bronchitis/machine/B.mp3","18–24","weiblich",4,5
"P09",1,"case-paul-ekzem","confirm",1,"machine",2,"A",6,"A",7,1,0,2752,1018,0,"/audio/case-paul-ekzem/machine/A.mp3","18–24","weiblich",4,5
"P09",1,"case-tomas-blase","confirm",1,"machine",3,"B",5,"B",7,2,0,3369,1018,0,"/audio/case-tomas-blase/machine/B.mp3","18–24","weiblich",4,5
"P09",1,"case-helga-alterswarzen","refute",1,"machine",4,"A",4,"C",5,1,1,4015,1419,0,"/audio/case-helga-alterswarzen/machine/C.mp3","18–24","weiblich",4,5
"P09",1,"case-lea-streptokokken","confirm",2,"anthropomorphic",1,"A",4,"A",6,2,0,4068,1318,0,"/audio/case-lea-streptokokken/anthropomorphic/A.mp3","18–24","weiblich",4,5
"P09",1,"case-nina-bindehaut","refute",2,"anthropomorphic",2,"A",3,"C",6,3,1,11968,1219,0,"/audio/case-nina-bindehaut/anthropomorphic/C.mp3","18–24","weiblich",4,5
"P09",1,"case-tim-karies","confirm",2,"anthropomorphic",3,"C",5,"C",7,2,0,3456,1653,0,"/audio/case-tim-karies/anthropomorphic/C.mp3","18–24","weiblich",4,5
"P09",1,"case-markus-bandscheibe","refute",2,"anthropomorphic",4,"A",5,"C",7,2,1,4750,1736,0,"/audio/case-markus-bandscheibe/anthropomorphic/C.mp3","18–24","weiblich",4,5
"P10",1,"case-tim-karies","refute",1,"machine",1,"C",4,"B",4,0,1,14780,5113,0,"/audio/case-tim-karies/machine/B.mp3","25–34","weiblich",2,2
"P10",1,"case-markus-bandscheibe","confirm",1,"machine",2,"B",5,"B",6,1,0,4180,11952,0,"/audio/case-markus-bandscheibe/machine/B.mp3","25–34","weiblich",2,2
"P10",1,"case-anna-erkaeltung","refute",1,"machine",3,"A",5,"B",4,-1,1,12915,1730,0,"/audio/case-anna-erkaeltung/machine/B.mp3","25–34","weiblich",2,2
"P10",1,"case-tomas-blase","confirm",1,"machine",4,"A",5,"A",6,1,0,5874,13131,0,"/audio/case-tomas-blase/machine/A.mp3","25–34","weiblich",2,2
"P10",1,"case-helga-alterswarzen","refute",2,"anthropomorphic",1,"B",2,"C",5,3,1,25015,4366,0,"/audio/case-helga-alterswarzen/anthropomorphic/C.mp3","25–34","weiblich",2,2
"P10",1,"case-paul-ekzem","confirm",2,"anthropomorphic",2,"A",6,"A",7,1,0,5530,2031,0,"/audio/case-paul-ekzem/anthropomorphic/A.mp3","25–34","weiblich",2,2
"P10",1,"case-nina-bindehaut","refute",2,"anthropomorphic",3,"A",6,"A",6,0,0,3927,1549,0,"/audio/case-nina-bindehaut/anthropomorphic/B.mp3","25–34","weiblich",2,2
"P10",1,"case-daniel-belastungsreaktion","confirm",2,"anthropomorphic",4,"B",5,"B",6,1,0,13333,2451,0,"/audio/case-daniel-belastungsreaktion/anthropomorphic/B.mp3","25–34","weiblich",2,2
"P11",1,"case-jonas-trommelfellriss","confirm",1,"anthropomorphic",1,"B",4,"B",5,1,0,6250,2491,0,"/audio/case-jonas-trommelfellriss/anthropomorphic/B.mp3","18–24","männlich",1,3
"P11",1,"case-sophie-lungenentzuendung","refute",1,"anthropomorphic",2,"C",6,"C",5,-1,0,10142,1905,0,"/audio/case-sophie-lungenentzuendung/anthropomorphic/A.mp3","18–24","männlich",1,3
"P11",1,"case-martin-bronchitis","refute",1,"anthropomorphic",3,"B",6,"B",6,0,0,9555,3037,0,"/audio/case-martin-bronchitis/anthropomorphic/A.mp3","18–24","männlich",1,3
"P11",1,"case-daniel-belastungsreaktion","confirm",1,"anthropomorphic",4,"A",7,"A",6,-1,0,7047,2519,0,"/audio/case-daniel-belastungsreaktion/anthropomorphic/A.mp3","18–24","männlich",1,3
"P11",1,"case-paul-ekzem","confirm",2,"machine",1,"B",5,"B",5,0,0,4812,4175,0,"/audio/case-paul-ekzem/machine/B.mp3","18–24","männlich",1,3
"P11",1,"case-markus-bandscheibe","confirm",2,"machine",2,"A",6,"A",5,-1,0,3846,2200,0,"/audio/case-markus-bandscheibe/machine/A.mp3","18–24","männlich",1,3
"P11",1,"case-helga-alterswarzen","refute",2,"machine",3,"C",4,"C",5,1,0,7557,3806,0,"/audio/case-helga-alterswarzen/machine/A.mp3","18–24","männlich",1,3
"P11",1,"case-lea-streptokokken","refute",2,"machine",4,"C",5,"C",6,1,0,9537,5508,0,"/audio/case-lea-streptokokken/machine/B.mp3","18–24","männlich",1,3
"P12",1,"case-tomas-blase","confirm",1,"machine",1,"A",3,"A",4,1,0,4923,1491,0,"/audio/case-tomas-blase/machine/A.mp3","18–24","männlich",3,3
"P12",1,"case-martin-bronchitis","refute",1,"machine",2,"A",5,"A",5,0,0,5029,1575,0,"/audio/case-martin-bronchitis/machine/B.mp3","18–24","männlich",3,3
"P12",1,"case-sophie-lungenentzuendung","confirm",1,"machine",3,"A",3,"A",5,2,0,9973,1184,0,"/audio/case-sophie-lungenentzuendung/machine/A.mp3","18–24","männlich",3,3
"P12",1,"case-jonas-trommelfellriss","refute",1,"machine",4,"B",3,"B",2,-1,0,17102,12180,0,"/audio/case-jonas-trommelfellriss/machine/A.mp3","18–24","männlich",3,3
