"participant","case","block","position","voice","ai","initial_pick","final_pick","initial_conf","final_conf","shift","pick_changed","cell","visibility_lost","initial_decision_ms","final_decision_ms"
"P34","case-helga-alterswarzen","t2",3,"anthropomorphic","confirm","C","C",3,3,0,0,"anthropomorphic.confirm",0,13714,1918
"P34","case-markus-bandscheibe","t2",4,"anthropomorphic","refute","A","B",3,3,0,1,"anthropomorphic.refute",0,2920,2516
"P35","case-anna-erkaeltung","t1",1,"anthropomorphic","confirm","B","B",5,6,1,0,"anthropomorphic.confirm",0,13799,2267
"P35","case-tomas-blase","t1",2,"anthropomorphic","refute","B","B",7,7,0,0,"anthropomorphic.refute",0,5326,6048
"P35","case-tim-karies","t1",3,"anthropomorphic","refute","A","C",5,5,0,1,"anthropomorphic.refute",0,10417,2132
"P35","case-sophie-lungenentzuendung","t1",4,"anthropomorphic","confirm","C","C",3,4,1,0,"anthropomorphic.confirm",0,20740,3631
"P35","case-nina-bindehaut","t2",1,"machine","confirm","A","A",5,5,0,0,"machine.confirm",0,4562,2461
"P35","case-paul-ekzem","t2",2,"machine","refute","A","A",5,6,1,0,"machine.refute",0,3629,37050
"P35","case-martin-bronchitis","t2",3,"machine","refute","A","A",6,5,-1,0,"machine.refute",0,2844,26181
"P35","case-helga-alterswarzen","t2",4,"machine","confirm","B","B",5,6,1,0,"machine.confirm",0,3199,1484
"P36","case-martin-bronchitis","t1",1,"machine","refute","A","A",4,3,-1,0,"machine.refute",0,13947,12737
"P36","case-helga-alterswarzen","t1",2,"machine","confirm","A","A",5,6,1,0,"machine.confirm",0,4869,2177
"P36","case-jonas-trommelfellriss","t1",3,"machine","refute","B","B",4,2,-2,0,"machine.refute",0,6404,4985
"P36","case-lea-streptokokken","t1",4,"machine","confirm","C","C",3,4,1,0,"machine.confirm",0,6770,2328
"P36","case-markus-bandscheibe","t2",1,"anthropomorphic","refute","B","B",4,1,-3,0,"anthropomorphic.refute",0,3827,27826
"P36","case-nina-bindehaut","t2",2,"anthropomorphic","confirm","A","A",2,5,3,0,"anthropomorphic.confirm",0,11173,3426
"P36","case-anna-erkaeltung","t2",3,"anthropomorphic","confirm","A","A",5,5,0,0,"anthropomorphic.confirm",0,7301,2707
"P36","case-paul-ekzem","t2",4,"anthropomorphic","refute","A","A",5,4,-1,0,"anthropomorphic.refute",0,6889,1789
"P37","case-tomas-blase","t1",1,"machine","confirm","B","B",3,7,4,0,"machine.confirm",0,3386,2152
"P37","case-markus-bandscheibe","t1",2,"machine","refute","A","C",5,3,-2,1,"machine.refute",0,3933,5485
"P37","case-sophie-lungenentzuendung","t1",3,"machine","refute","A","C",4,7,3,1,"machine.refute",0,3820,2234
"P37","case-martin-bronchitis","t1",4,"machine","confirm","A","A",3,7,4,0,"machine.confirm",0,6569,1402
"P37","case-daniel-belastungsreaktion","t2",1,"anthropomorphic","confirm","B","B",3,7,4,0,"anthropomorphic.confirm",0,4687,1536
"P37","case-anna-erkaeltung","t2",2,"anthropomorphic","refute","B","C",4,7,3,1,"anthropomorphic.refute",0,3199,4684
"P37","case-nina-bindehaut","t2",3,"anthropomorphic","refute","A","C",5,7,2,1,"anthropomorphic.refute",0,9152,10019
"P37","case-paul-ekzem","t2",4,"anthropomorphic","confirm","A","A",4,7,3,0,"anthropomorphic.confirm",0,6332,1767
"P38","case-lea-streptokokken","t1",1,"anthropomorphic","confirm","B","B",1,7,6,0,"anthropomorphic.confirm",0,10737,2100
"P38","case-jonas-trommelfellriss","t1",2,"anthropomorphic","refute","B","C",3,7,4,1,"anthropomorphic.refute",0,3968,1451
"P38","case-markus-bandscheibe","t1",3,"anthropomorphic","refute","A","C",2,7,5,1,"anthropomorphic.refute",0,5085,1668
"P38","case-sophie-lungenentzuendung","t1",4,"anthropomorphic","confirm","C","C",2,7,5,0,"anthropomorphic.confirm",0,3637,1847
"P38","case-tomas-blase","t2",1,"machine","refute","A","C",1,7,6,1,"machine.refute",0,8784,2083
"P38","case-daniel-belastungsreaktion","t2",2,"machine","confirm","B","B",1,7,6,0,"machine.confirm",0,8969,2217
"P38","case-nina-bindehaut","t2",3,"machine","confirm","A","A",2,7,5,0,"machine.confirm",0,7170,1270
"P38","case-anna-erkaeltung","t2",4,"machine","refute","C","B",1,7,6,1,"machine.refute",0,8554,1918
"P39","case-sophie-lungenentzuendung","t1",1,"machine","refute","B","A",2,2,0,1,"machine.refute",0,7762,5709
"P39","case-anna-erkaeltung","t1",2,"machine","confirm","C","C",3,3,0,0,"machine.confirm",0,2601,2289
"P39","case-markus-bandscheibe","t1",3,"machine","confirm","A","A",4,6,2,0,"machine.confirm",0,6039,2120
"P39","case-tim-karies","t1",4,"machine","refute","C","A",1,7,6,1,"machine.refute",0,2629,3770
"P39","case-lea-streptokokken","t2",1,"anthropomorphic","confirm","A","A",1,4,3,0,"anthropomorphic.confirm",0,3381,1618
"P39","case-tomas-blase","t2",2,"anthropomorphic","refute","C","B",2,5,3,1,"anthropomorphic.refute",0,15828,3542
